Time id,Generator Name,Generator Id,Dispatched Energy,Unit Status,Ramp Down Rate (MW/h),Ramp Up Rate (MW/h),Max Capacity,Minimum Capacity,Demand
0,Waters River,2,43.6,1.0,17.44,17.44,43.6,13.08,24435
0,Cleary Flood Hybrid,9A,0.0,0.0,9.2,9.2,23.0,6.9,24435
0,Cleary Flood Hybrid,BS1,0.0,0.0,1.2,1.2,3.0,0.9,24435
0,Cleary Flood Hybrid,CA9,38.0,1.0,38.0,38.0,95.0,28.5,24435
0,Comerford,GEN1,22.0,1.0,8.8,8.8,22.0,6.6,24435
0,Comerford,GEN2,48.6,1.0,19.44,19.44,48.6,14.58,24435
0,Comerford,GEN3,48.6,1.0,19.44,19.44,48.6,14.58,24435
0,Comerford,GEN4,48.6,1.0,19.44,19.44,48.6,14.58,24435
0,S C Moore,GEN1,47.7,1.0,19.08,19.08,47.7,14.31,24435
0,S C Moore,GEN2,47.7,1.0,19.08,19.08,47.7,14.31,24435
0,S C Moore,GEN3,47.7,1.0,19.08,19.08,47.7,14.31,24435
0,S C Moore,GEN4,47.7,1.0,19.08,19.08,47.7,14.31,24435
0,S C Moore,GEN5,4.6,1.0,1.84,1.84,4.6,1.38,24435
0,Vernon Dam,1,2.0,1.0,0.8,0.8,2.0,0.6,24435
0,Vernon Dam,10,4.2,1.0,1.68,1.68,4.2,1.26,24435
0,Vernon Dam,2,2.0,1.0,0.8,0.8,2.0,0.6,24435
0,Vernon Dam,3,2.0,1.0,0.8,0.8,2.0,0.6,24435
0,Vernon Dam,4,2.5,1.0,1.0,1.0,2.5,0.75,24435
0,Vernon Dam,5,4.5,1.0,1.8,1.8,4.5,1.35,24435
0,Vernon Dam,6A,5.0,1.0,2.0,2.0,5.0,1.5,24435
0,Vernon Dam,7A,5.0,1.0,2.0,2.0,5.0,1.5,24435
0,Vernon Dam,8,4.5,1.0,1.8,1.8,4.5,1.35,24435
0,Vernon Dam,9,4.2,1.0,1.68,1.68,4.2,1.26,24435
0,Wilder,GEN1,16.2,1.0,6.48,6.48,16.2,4.86,24435
0,Wilder,GEN2,16.2,1.0,6.48,6.48,16.2,4.86,24435
0,Wilder,GEN3,3.2,1.0,1.28,1.28,3.2,0.96,24435
0,Amoskeag,1,6.0,1.0,2.4,2.4,6.0,1.8,24435
0,Amoskeag,2,5.0,1.0,2.0,2.0,5.0,1.5,24435
0,Amoskeag,3,5.0,1.0,2.0,2.0,5.0,1.5,24435
0,Ayers Island,1,2.8,1.0,1.12,1.12,2.8,0.84,24435
0,Ayers Island,2,2.8,1.0,1.12,1.12,2.8,0.84,24435
0,Ayers Island,3,2.8,1.0,1.12,1.12,2.8,0.84,24435
0,Eastman Falls,1,1.8,1.0,0.72,0.72,1.8,0.54,24435
0,Eastman Falls,2,4.6,1.0,1.84,1.84,4.6,1.38,24435
0,Garvins Falls,1,3.4,1.0,1.36,1.36,3.4,1.02,24435
0,Garvins Falls,2,3.4,1.0,1.36,1.36,3.4,1.02,24435
0,Garvins Falls,3,2.4,1.0,0.96,0.96,2.4,0.72,24435
0,Garvins Falls,4,3.2,1.0,1.28,1.28,3.2,0.96,24435
0,Gorham,1,0.4,1.0,0.16,0.16,0.4,0.12,24435
0,Gorham,2,0.4,1.0,0.16,0.16,0.4,0.12,24435
0,Gorham,3,0.7,1.0,0.28,0.28,0.7,0.21,24435
0,Gorham,4,0.7,1.0,0.28,0.28,0.7,0.21,24435
0,Hooksett,1,1.6,1.0,0.64,0.64,1.6,0.48,24435
0,Jackman,1,3.2,1.0,1.28,1.28,3.2,0.96,24435
0,Lost Nation,GT1,18.0,1.0,7.2,7.2,18.0,5.4,24435
0,Merrimack,1,0.0,0.0,45.44,45.44,113.6,34.08,24435
0,Merrimack,2,-0.0,-0.0,138.24,138.24,345.6,103.68,24435
0,Merrimack,GT1,18.6,1.0,7.44,7.44,18.6,5.58,24435
0,Merrimack,GT2,0.0,0.0,7.44,7.44,18.6,5.58,24435
0,Schiller,4,0.0,0.0,20.0,20.0,50.0,15.0,24435
0,Schiller,5,50.0,1.0,20.0,20.0,50.0,15.0,24435
0,Schiller,6,0.0,0.0,20.0,20.0,50.0,15.0,24435
0,Schiller,GT1,8.48,1.0,8.48,8.48,21.2,6.36,24435
0,Smith (NH),1,15.0,1.0,6.0,6.0,15.0,4.5,24435
0,White Lake,GT1,7.440000000000001,1.0,7.44,7.44,18.6,5.58,24435
0,Manchester Street,G10A,50.0,1.0,50.0,50.0,125.0,37.5,24435
0,Manchester Street,G11A,50.0,1.0,50.0,50.0,125.0,37.5,24435
0,Manchester Street,GE10,0.0,0.0,19.2,19.2,48.0,14.4,24435
0,Manchester Street,GE11,46.0,1.0,18.4,18.4,46.0,13.8,24435
0,Manchester Street,GE9A,50.0,1.0,50.0,50.0,125.0,37.5,24435
0,Manchester Street,GEN9,46.0,1.0,18.4,18.4,46.0,13.8,24435
0,Ascutney,GT4,5.28,1.0,5.28,5.28,13.2,3.96,24435
0,Smith (VT),1,1.0,1.0,0.4,0.4,1.0,0.3,24435
0,Smith (VT),HC2,0.5,1.0,0.2,0.2,0.5,0.15,24435
0,Cavendish,1,0.6,1.0,0.24,0.24,0.6,0.18,24435
0,Cavendish,2,0.6,1.0,0.24,0.24,0.6,0.18,24435
0,Cavendish,3,0.5,1.0,0.2,0.2,0.5,0.15,24435
